KO	Category	SuperPathway	SubPathway
K05336	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05337	Unknown function	Unknown function	Unknown function
K05338	Environmental Information Processing	Signal Transduction	Two-component system
K05339	Environmental Information Processing	Signal Transduction	Two-component system
K05340	Unknown function	Unknown function	Unknown function
K05341	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05342	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05343	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05344	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K05344	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05345	Unknown function	Unknown function	Unknown function
K05346	Genetic Information Processing	Transcription	Transcription factors
K05348	Unknown function	Unknown function	Unknown function
K05349	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05349	Metabolism	Metabolism of Other Amino Acids	Cyanoamino acid metabolism
K05349	Metabolism	Biosynthesis of Other Secondary Metabolites	Phenylpropanoid biosynthesis
K05350	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K05350	Metabolism	Metabolism of Other Amino Acids	Cyanoamino acid metabolism
K05350	Metabolism	Biosynthesis of Other Secondary Metabolites	Phenylpropanoid biosynthesis
K05351	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K05352	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K05353	Metabolism	Biosynthesis of Other Secondary Metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K05354	Metabolism	Biosynthesis of Other Secondary Metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K05355	Metabolism	Metabolism of Terpenoids and Polyketides	Prenyltransferases
K05355	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K05356	Metabolism	Metabolism of Terpenoids and Polyketides	Prenyltransferases
K05356	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K05357	Unknown function	Unknown function	Unknown function
K05358	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K05359	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K05360	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K05361	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K05362	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05363	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05364	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K05364	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05365	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K05365	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05366	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K05366	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05367	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K05367	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K05368	Metabolism	Metabolism of Cofactors and Vitamins	Riboflavin metabolism
K05368	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K05369	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K05370	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K05371	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K05372	Genetic Information Processing	Transcription	Transcription factors
K05373	Environmental Information Processing	Membrane Transport	Transporters
K05374	Unknown function	Unknown function	Unknown function
K05375	Unknown function	Unknown function	Unknown function
K05376	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05376	Metabolism	Energy Metabolism	Photosynthesis proteins
K05377	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05377	Metabolism	Energy Metabolism	Photosynthesis proteins
K05378	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05378	Metabolism	Energy Metabolism	Photosynthesis proteins
K05379	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05379	Metabolism	Energy Metabolism	Photosynthesis proteins
K05380	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05380	Metabolism	Energy Metabolism	Photosynthesis proteins
K05381	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05381	Metabolism	Energy Metabolism	Photosynthesis proteins
K05382	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05382	Metabolism	Energy Metabolism	Photosynthesis proteins
K05383	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05383	Metabolism	Energy Metabolism	Photosynthesis proteins
K05384	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05384	Metabolism	Energy Metabolism	Photosynthesis proteins
K05385	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05385	Metabolism	Energy Metabolism	Photosynthesis proteins
K05386	Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
K05386	Metabolism	Energy Metabolism	Photosynthesis proteins
K05387	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05388	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05389	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05390	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05391	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05391	Organismal Systems	Environmental Adaptation	Plant-pathogen interaction
K05392	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05393	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05394	Metabolism	Xenobiotics Biodegradation and Metabolism	Atrazine degradation
K05395	Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
K05396	Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
K05397	Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
K05398	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05398	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05398	Human Diseases	Infectious Diseases	Tuberculosis
K05399	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05399	Human Diseases	Infectious Diseases	Salmonella infection
K05399	Human Diseases	Infectious Diseases	Tuberculosis
K05400	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05400	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05400	Human Diseases	Infectious Diseases	Pathogenic Escherichia coli infection
K05400	Human Diseases	Infectious Diseases	Pertussis
K05400	Human Diseases	Infectious Diseases	Toxoplasmosis
K05401	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05401	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05401	Human Diseases	Infectious Diseases	Influenza A
K05401	Human Diseases	Infectious Diseases	Hepatitis C
K05401	Human Diseases	Infectious Diseases	Herpes simplex infection
K05402	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05403	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05403	Human Diseases	Infectious Diseases	Pertussis
K05403	Human Diseases	Infectious Diseases	Tuberculosis
K05404	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05404	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05404	Human Diseases	Infectious Diseases	Measles
K05404	Human Diseases	Infectious Diseases	Influenza A
K05405	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05405	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05405	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05405	Organismal Systems	Immune System	Hematopoietic cell lineage
K05405	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05405	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K05405	Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
K05405	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05405	Human Diseases	Cancers	Pathways in cancer
K05405	Human Diseases	Cancers	Transcriptional misregulation in cancers
K05405	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05405	Human Diseases	Immune Diseases	Graft-versus-host disease
K05405	Human Diseases	Neurodegenerative Diseases	Prion diseases
K05405	Human Diseases	Cardiovascular Diseases	Hypertrophic cardiomyopathy (HCM)
K05405	Human Diseases	Infectious Diseases	Salmonella infection
K05405	Human Diseases	Infectious Diseases	Pertussis
K05405	Human Diseases	Infectious Diseases	Legionellosis
K05405	Human Diseases	Infectious Diseases	Tuberculosis
K05405	Human Diseases	Infectious Diseases	HTLV-I infection
K05405	Human Diseases	Infectious Diseases	Measles
K05405	Human Diseases	Infectious Diseases	Influenza A
K05405	Human Diseases	Infectious Diseases	Herpes simplex infection
K05405	Human Diseases	Infectious Diseases	Amoebiasis
K05405	Human Diseases	Infectious Diseases	Malaria
K05405	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05405	Human Diseases	Infectious Diseases	African trypanosomiasis
K05406	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05406	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05406	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05406	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05406	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05406	Human Diseases	Immune Diseases	Allograft rejection
K05406	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K05406	Human Diseases	Infectious Diseases	Pertussis
K05406	Human Diseases	Infectious Diseases	Legionellosis
K05406	Human Diseases	Infectious Diseases	Tuberculosis
K05406	Human Diseases	Infectious Diseases	Measles
K05406	Human Diseases	Infectious Diseases	Influenza A
K05406	Human Diseases	Infectious Diseases	Herpes simplex infection
K05406	Human Diseases	Infectious Diseases	Amoebiasis
K05406	Human Diseases	Infectious Diseases	Malaria
K05406	Human Diseases	Infectious Diseases	Toxoplasmosis
K05406	Human Diseases	Infectious Diseases	Leishmaniasis
K05406	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05406	Human Diseases	Infectious Diseases	African trypanosomiasis
K05407	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05407	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05407	Organismal Systems	Immune System	Chemokine signaling pathway
K05408	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05408	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05408	Organismal Systems	Immune System	Chemokine signaling pathway
K05408	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05408	Human Diseases	Infectious Diseases	Salmonella infection
K05408	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05409	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05409	Human Diseases	Infectious Diseases	Pertussis
K05410	Metabolism	Enzyme Families	Protein kinases
K05410	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05410	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05410	Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
K05410	Human Diseases	Infectious Diseases	Measles
K05410	Human Diseases	Infectious Diseases	Influenza A
K05410	Human Diseases	Infectious Diseases	Hepatitis C
K05410	Human Diseases	Infectious Diseases	Herpes simplex infection
K05411	Genetic Information Processing	Transcription	Transcription factors
K05411	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05411	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05411	Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
K05411	Human Diseases	Infectious Diseases	Pertussis
K05411	Human Diseases	Infectious Diseases	Measles
K05411	Human Diseases	Infectious Diseases	Influenza A
K05411	Human Diseases	Infectious Diseases	Hepatitis C
K05411	Human Diseases	Infectious Diseases	Herpes simplex infection
K05412	Environmental Information Processing	Signaling Molecules and Interaction	Cell adhesion molecules (CAMs)
K05412	Environmental Information Processing	Signaling Molecules and Interaction	Cell adhesion molecules (CAMs)
K05412	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05412	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05412	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05412	Human Diseases	Immune Diseases	Systemic lupus erythematosus
K05412	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05412	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05412	Human Diseases	Immune Diseases	Allograft rejection
K05412	Human Diseases	Immune Diseases	Graft-versus-host disease
K05412	Human Diseases	Cardiovascular Diseases	Viral myocarditis
K05412	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K05413	Environmental Information Processing	Signaling Molecules and Interaction	Cell adhesion molecules (CAMs)
K05413	Environmental Information Processing	Signaling Molecules and Interaction	Cell adhesion molecules (CAMs)
K05413	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K05413	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05413	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05413	Human Diseases	Cancers	Transcriptional misregulation in cancers
K05413	Human Diseases	Immune Diseases	Systemic lupus erythematosus
K05413	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05413	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05413	Human Diseases	Immune Diseases	Allograft rejection
K05413	Human Diseases	Immune Diseases	Graft-versus-host disease
K05413	Human Diseases	Cardiovascular Diseases	Viral myocarditis
K05413	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K05414	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05414	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05414	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05414	Cellular Processes	Transport and Catabolism	Regulation of autophagy
K05414	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05414	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05414	Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
K05414	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K05414	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05414	Human Diseases	Infectious Diseases	Tuberculosis
K05414	Human Diseases	Infectious Diseases	Measles
K05414	Human Diseases	Infectious Diseases	Influenza A
K05414	Human Diseases	Infectious Diseases	Hepatitis C
K05414	Human Diseases	Infectious Diseases	Herpes simplex infection
K05415	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05415	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05415	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05415	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05415	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05415	Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
K05415	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K05415	Organismal Systems	Development	Osteoclast differentiation
K05415	Human Diseases	Infectious Diseases	Tuberculosis
K05415	Human Diseases	Infectious Diseases	Measles
K05415	Human Diseases	Infectious Diseases	Influenza A
K05415	Human Diseases	Infectious Diseases	Hepatitis C
K05415	Human Diseases	Infectious Diseases	Herpes simplex infection
K05415	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05416	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05416	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05416	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05416	Organismal Systems	Immune System	Chemokine signaling pathway
K05417	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05417	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05417	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05417	Organismal Systems	Immune System	Hematopoietic cell lineage
K05417	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05418	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05418	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05418	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05419	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05419	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05419	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05420	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05420	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05420	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05421	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05421	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05421	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05422	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05422	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05422	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05423	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05423	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05423	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05423	Organismal Systems	Immune System	Hematopoietic cell lineage
K05423	Human Diseases	Infectious Diseases	Malaria
K05424	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05424	Environmental Information Processing	Signaling Molecules and Interaction	Neuroactive ligand-receptor interaction
K05424	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05424	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05424	Organismal Systems	Endocrine System	Adipocytokine signaling pathway
K05425	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05425	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05425	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05425	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K05425	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05425	Human Diseases	Immune Diseases	Allograft rejection
K05425	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K05425	Human Diseases	Infectious Diseases	Pertussis
K05425	Human Diseases	Infectious Diseases	Legionellosis
K05425	Human Diseases	Infectious Diseases	Tuberculosis
K05425	Human Diseases	Infectious Diseases	Measles
K05425	Human Diseases	Infectious Diseases	Influenza A
K05425	Human Diseases	Infectious Diseases	Herpes simplex infection
K05425	Human Diseases	Infectious Diseases	Amoebiasis
K05425	Human Diseases	Infectious Diseases	Toxoplasmosis
K05425	Human Diseases	Infectious Diseases	Leishmaniasis
K05425	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05425	Human Diseases	Infectious Diseases	African trypanosomiasis
K05426	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05426	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05426	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05426	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05426	Human Diseases	Infectious Diseases	Pertussis
K05426	Human Diseases	Infectious Diseases	Tuberculosis
K05427	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05427	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05427	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05427	Organismal Systems	Immune System	Hematopoietic cell lineage
K05427	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K05427	Organismal Systems	Immune System	T cell receptor signaling pathway
K05427	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K05427	Human Diseases	Cancers	Transcriptional misregulation in cancers
K05427	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05427	Human Diseases	Infectious Diseases	Salmonella infection
K05427	Human Diseases	Infectious Diseases	HTLV-I infection
K05427	Human Diseases	Infectious Diseases	Amoebiasis
K05428	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05428	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05428	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05428	Organismal Systems	Immune System	Hematopoietic cell lineage
K05428	Organismal Systems	Immune System	T cell receptor signaling pathway
K05428	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K05428	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05428	Human Diseases	Immune Diseases	Asthma
K05428	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05428	Human Diseases	Immune Diseases	Allograft rejection
K05429	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05429	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05429	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05429	Organismal Systems	Immune System	T cell receptor signaling pathway
K05429	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05429	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05429	Human Diseases	Immune Diseases	Allograft rejection
K05429	Human Diseases	Immune Diseases	Graft-versus-host disease
K05429	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K05429	Human Diseases	Infectious Diseases	HTLV-I infection
K05429	Human Diseases	Infectious Diseases	Measles
K05429	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05430	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05430	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05430	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05430	Organismal Systems	Immune System	Hematopoietic cell lineage
K05430	Organismal Systems	Immune System	T cell receptor signaling pathway
K05430	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K05430	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05430	Human Diseases	Immune Diseases	Asthma
K05430	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05430	Human Diseases	Immune Diseases	Allograft rejection
K05430	Human Diseases	Infectious Diseases	Measles
K05430	Human Diseases	Infectious Diseases	Leishmaniasis
K05431	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05431	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05431	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05431	Organismal Systems	Immune System	Hematopoietic cell lineage
K05432	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05432	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05432	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05432	Human Diseases	Immune Diseases	Asthma
K05433	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05433	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05433	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05433	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05433	Human Diseases	Immune Diseases	Rheumatoid arthritis
K05433	Human Diseases	Infectious Diseases	HTLV-I infection
K05433	Human Diseases	Infectious Diseases	Herpes simplex infection
K05434	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05434	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05434	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05435	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05435	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05435	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05435	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K05435	Human Diseases	Immune Diseases	Asthma
K05435	Human Diseases	Infectious Diseases	Measles
K05436	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05436	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05436	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05437	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05437	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05437	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05437	Organismal Systems	Immune System	Hematopoietic cell lineage
K05438	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05438	Environmental Information Processing	Signaling Molecules and Interaction	Neuroactive ligand-receptor interaction
K05438	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05438	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05439	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05439	Environmental Information Processing	Signaling Molecules and Interaction	Neuroactive ligand-receptor interaction
K05439	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05439	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05440	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05440	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05440	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05440	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05441	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05441	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05441	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05441	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05442	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05442	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05442	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05442	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K05443	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05443	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05443	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05443	Organismal Systems	Immune System	T cell receptor signaling pathway
K05443	Organismal Systems	Immune System	Intestinal immune network for IgA production
K05443	Human Diseases	Immune Diseases	Asthma
K05443	Human Diseases	Immune Diseases	Systemic lupus erythematosus
K05443	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K05443	Human Diseases	Immune Diseases	Allograft rejection
K05443	Human Diseases	Infectious Diseases	Pertussis
K05443	Human Diseases	Infectious Diseases	Staphylococcus aureus infection
K05443	Human Diseases	Infectious Diseases	Tuberculosis
K05443	Human Diseases	Infectious Diseases	Amoebiasis
K05443	Human Diseases	Infectious Diseases	Malaria
K05443	Human Diseases	Infectious Diseases	Toxoplasmosis
K05443	Human Diseases	Infectious Diseases	Leishmaniasis
K05443	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K05443	Human Diseases	Infectious Diseases	African trypanosomiasis
K05444	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05444	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05444	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05445	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K05445	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K05445	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K05446	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
